Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
11123_0300,1336.13000000,1336.14000000,1334.91000000,1334.92000000,352.66570000,11123_0300,470923.44281500,381,70.19040000,93714.91380600,0
11123_0301,1334.91000000,1335.16000000,1334.80000000,1334.94000000,383.77880000,11123_0301,512312.02347900,357,104.65710000,139702.36938700,0
11123_0302,1334.93000000,1334.94000000,1334.93000000,1334.93000000,35.37010000,11123_0302,47216.87775500,124,27.01620000,36065.00602800,0
11123_0303,1334.93000000,1334.94000000,1334.89000000,1334.90000000,71.93450000,11123_0303,96026.42602200,150,46.50410000,62078.65829000,0
11123_0304,1334.89000000,1334.90000000,1334.80000000,1334.80000000,46.26560000,11123_0304,61757.70945500,162,18.84400000,25153.96647300,0
11123_0305,1334.80000000,1334.81000000,1334.74000000,1334.74000000,37.12220000,11123_0305,49549.04329800,165,21.35810000,28507.79080300,0
11123_0306,1334.75000000,1334.98000000,1334.74000000,1334.75000000,108.04820000,11123_0306,144227.89748000,208,50.84670000,67870.10984800,0
11123_0307,1334.75000000,1334.94000000,1334.51000000,1334.94000000,234.62200000,11123_0307,313141.93672800,242,172.89450000,230756.66948900,0
11123_0308,1334.94000000,1334.94000000,1334.88000000,1334.89000000,28.58360000,11123_0308,38156.35719900,157,6.80590000,9085.16214100,0
11123_0309,1334.88000000,1334.89000000,1334.57000000,1334.82000000,91.14030000,11123_0309,121650.86695700,189,25.12840000,33538.13257700,0
11123_0310,1334.82000000,1335.46000000,1334.81000000,1335.45000000,74.16180000,11123_0310,99013.81141400,177,60.96600000,81394.25166800,0
11123_0311,1335.46000000,1335.94000000,1335.03000000,1335.04000000,163.72740000,11123_0311,218689.63944100,308,24.14840000,32253.54423800,0
11123_0312,1335.04000000,1335.04000000,1335.03000000,1335.04000000,26.70780000,11123_0312,35655.76778000,126,5.35460000,7148.60518400,0
11123_0313,1335.04000000,1335.19000000,1335.03000000,1335.19000000,159.93270000,11123_0313,213532.43681600,220,145.19420000,193853.96565800,0
11123_0314,1335.18000000,1335.19000000,1335.18000000,1335.18000000,17.48160000,11123_0314,23341.17164800,135,8.89600000,11877.85024000,0
11123_0315,1335.19000000,1335.32000000,1334.91000000,1334.92000000,148.90800000,11123_0315,198805.10139000,242,89.94340000,120078.80152400,0
11123_0316,1334.92000000,1334.92000000,1334.91000000,1334.91000000,11.39470000,11123_0316,15210.99380900,107,9.48320000,12659.31334400,0
11123_0317,1334.91000000,1334.92000000,1334.91000000,1334.92000000,29.25680000,11123_0317,39055.34175600,154,14.68680000,19605.70305600,0
11123_0318,1334.91000000,1334.98000000,1334.91000000,1334.98000000,53.61300000,11123_0318,71570.77771400,165,29.93830000,39965.82827500,0
11123_0319,1334.97000000,1334.98000000,1334.88000000,1334.93000000,49.69500000,11123_0319,66338.63548800,168,17.01190000,22709.20409300,0
1673436000000,1334.94000000,1334.94000000,1334.81000000,1334.82000000,101.72650000,1673436059999,135794.12572200,156,82.40910000,110007.76373100,0
11123_0320,1334.94000000,1334.94000000,1334.81000000,1334.82000000,103.49210000,11123_0320,138150.87448700,207,83.23200000,111106.18710900,0
11123_0321,1334.81000000,1334.86000000,1334.36000000,1334.49000000,265.95690000,11123_0321,354937.41611300,399,49.68430000,66300.14251600,0
11123_0322,1334.50000000,1334.57000000,1334.26000000,1334.56000000,56.69550000,11123_0322,75658.63004200,193,47.08480000,62833.12735700,0
